CRIMEID,REPORTDATE,WARD,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,geometry,NAME
27906900,1/1/19 1:06,Ward 5,0,1,0,0,"-76.974169, 38.898823","Phelps Architecture, Construction, and Engineering High School"
27906900,1/1/19 1:06,Ward 5,0,1,0,0,"-76.974169, 38.898824",Friendship PCS - Blow Pierce 
27906900,1/1/19 1:06,Ward 5,0,1,0,0,"-76.974169, 38.898825",Monument Academy PCS
27906900,1/1/19 1:06,Ward 5,0,1,0,0,"-76.974169, 38.898826",Two Rivers PCS - Young Elementary School
27906921,1/1/19 1:53,Ward 1,0,1,0,0,"-76.974169, 38.898827",Cardozo Education Campus
27906921,1/1/19 1:53,Ward 1,0,1,0,0,"-76.974169, 38.898828",AppleTree Early Learning Center PCS - Columbia Heights
27906921,1/1/19 1:53,Ward 1,0,1,0,0,"-76.974169, 38.898829",Carlos Rosario International PCS
27910038,1/4/19 2:11,Ward 6,1,0,0,0,"-76.974169, 38.898830",Dunbar High School
27910038,1/4/19 2:11,Ward 6,1,0,0,0,"-76.974169, 38.898831",Walker-Jones Education Campus
27910672,1/4/19 14:19,Ward 2,0,1,0,0,"-76.974169, 38.898832",Garrison Elementary School
27910940,1/4/19 22:30,Ward 2,0,1,0,0,"-76.974169, 38.898833","KIPP DC - Grow Academy PCS, KIPP DC - Lead Academy PCS, and KIPP DC - WILL Academy PCS"
27911635,1/5/19 9:40,Ward 2,0,1,0,0,"-76.974169, 38.898834",Marie Reed Elementary School
27911635,1/5/19 9:40,Ward 2,0,1,0,0,"-76.974169, 38.898835",Oyster-Adams Bilingual School (Adams)
27911635,1/5/19 9:40,Ward 2,0,1,0,0,"-76.974169, 38.898836",Ross Elementary School
27911917,1/5/19 23:14,Ward 4,0,0,0,0,"-76.974169, 38.898837",Roots PCS
27913607,1/7/19 12:07,Ward 5,0,1,0,0,"-76.974169, 38.898838",Dunbar High School
27913607,1/7/19 12:07,Ward 5,0,1,0,0,"-76.974169, 38.898839",Friendship PCS - Armstrong 
27913607,1/7/19 12:07,Ward 5,0,1,0,0,"-76.974169, 38.898840",Mundo Verde Bilingual PCS - J.F. Cook
27913927,1/7/19 23:59,Ward 5,0,1,0,0,"-76.974169, 38.898841",Social Justice PCS and Rocketship PCS - Rise Academy
27914049,1/8/19 3:32,Ward 2,0,1,0,0,"-76.974169, 38.898842",Walker-Jones Education Campus
27914671,1/8/19 15:47,Ward 8,1,1,0,0,"-76.974169, 38.898843",Anacostia High School
27914671,1/8/19 15:47,Ward 8,1,1,0,0,"-76.974169, 38.898844",Ketcham Elementary School
27914671,1/8/19 15:47,Ward 8,1,1,0,0,"-76.974169, 38.898845",DC Prep PCS - Anacostia Elementary School
27914728,1/8/19 17:10,Ward 5,0,1,0,0,"-76.974169, 38.898846",Dunbar High School
