Name,Crash,Pedestrian,MajorFatal,PropMajFat,Tree,AvgCrown,UTCPCT,MedIncome,LogIncome,Population,Density,PopProp,AvgSpeed,Road,Arterial,PropArt,TrafficVol,LogCrash,SRTS,Lat,Lon,LogMajFat
Lafayette Elementary School,0,0,0,0,1226,1221,54.09,201339,5.303927907,791,2.507682195,0.001179564,21.17647059,51,0,0,30110,0,0,38.96662755,-77.06803712,-4
Creative Minds International PCS,0,0,0,0,262,303,32.57,,,0,0,0,22.5,8,2,0.25,9992,0,0,38.937725,-77.007009,-4
LEARN DC PCSB,0,0,0,0,16,209,12.92,152755,5.183995435,1478,0.458117684,0.002204039,20,25,0,0,,0,0,38.83197916,-77.01854285,-4
MacArthur High School,1,1,0,0,829,1010,53.59,170688,5.23220299,1500,1.92767221,0.002236846,20.65789474,38,10,0.263157895,105413,0,0,38.907762,-77.086167,-4
Mary McLeod Bethune Day Academy PCS,1,1,0,0,1053,852,36.77,90035,4.954411369,917,3.118395421,0.001367459,21.44230769,52,12,0.230769231,85590,0,0,38.9296056,-76.9868646,-4
Drew Elementary School,2,2,1,0.5,1074,697,36.57,61458,4.788578423,1312,5.189811314,0.001956495,20.85,60,8,0.133333333,74208,0.693147181,0,38.89599397,-76.91992701,-0.301029996
John Lewis Elementary School,2,2,1,0.5,1120,890,32.2,233611,5.368493288,2061,5.675851826,0.003073427,22.20588235,68,25,0.367647059,232258,0.693147181,0,38.95119327,-77.03241633,-0.301029996
Malcolm X Elementary School @ Green,2,2,1,0.5,519,539,55.17,12500,4.096910013,951,9.008915562,0.001418161,20.68181818,22,0,0,14721,0.693147181,0,38.8416454,-76.98339857,-0.301029996
Eagle Academy PCS - Capitol Riverfront,2,2,1,0.5,477,388,9.39,71618,4.855022189,1178,1.525304762,0.00175667,20,4,0,0,,0.693147181,0,38.86669175,-77.00992365,-0.301029996
Barnard Elementary School,2,2,0,0,1094,858,33.01,87985,4.944408638,1789,3.672370919,0.002667812,20.38461538,78,15,0.192307692,124200,0.693147181,1,38.94823095,-77.01777708,-4
Key Elementary School,2,2,0,0,922,1122,64.86,250001,5.397941746,748,1.660676387,0.001115441,21.36363636,44,14,0.318181818,162234,0.693147181,0,38.92680184,-77.10052732,-4
Latin American Montessori Bilingual PCS,2,3,0,0,1070,845,35.44,250001,5.397941746,1339,3.765486381,0.001996758,22.17741935,62,19,0.306451613,242541,0.693147181,1,38.950926,-77.03353,-4
