bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100001001,110010001001,G11000100001021,110010001021,0.987650784,0.998464702,0.998403575,0.999047579,0.99832435,0.998338804,0.999639779,0.996901539
G11000100001001,110010001001,G11000100004002,110010004002,0.012349216,0.001535298,0.001596425,0.000952421,0.00167565,0.001661196,0.000360221,0.003098461
G11000100001002,110010001002,G11000100001011,110010001011,1,1,1,1,1,1,1,1
G11000100001003,110010001003,G11000100001022,110010001022,1,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100001023,110010001023,0.997671694,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100056012,110010056012,0.002328306,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002011,110010002011,0.383874712,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002012,110010002012,0.492260165,0.999560837,0.999559261,0.999529708,0.938579891,0.938579891,0.938579891,0.938579891
G11000100002011,110010002011,G11000100002021,110010002021,0.000153631,0.000439163,0.000440739,0.000470292,0.061420109,0.061420109,0.061420109,0.061420109
G11000100002011,110010002011,G11000100002024,110010002024,0.000179544,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100008022,110010008022,0.123531949,0,0,0,0,0,0,0
G11000100002021,110010002021,G11000100002021,110010002021,1,1,1,1,1,1,1,1
G11000100002022,110010002022,G11000100002022,110010002022,1,1,1,1,1,1,1,1
G11000100002023,110010002023,G11000100002023,110010002023,1,1,1,1,1,1,1,1
G11000100002024,110010002024,G11000100001023,110010001023,6.1847E-06,0,0,0,0,0,0,0
G11000100002024,110010002024,G11000100002012,110010002012,0.091579283,0.016502139,0.014623661,0.075604653,0.030674182,0.036614605,0.04577977,0.017330913
G11000100002024,110010002024,G11000100002024,110010002024,0.908414533,0.983497861,0.985376339,0.924395347,0.969325818,0.963385396,0.95422023,0.982669087
G11000100003001,110010003001,G11000100003001,110010003001,1,1,1,1,1,1,1,1
G11000100003002,110010003002,G11000100003002,110010003002,1,1,1,1,1,1,1,1
G11000100003003,110010003003,G11000100003003,110010003003,1,1,1,1,1,1,1,1
G11000100003004,110010003004,G11000100003004,110010003004,1,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100004001,110010004001,0.998791002,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100007022,110010007022,0.001208998,0,0,0,0,0,0,0
G11000100004002,110010004002,G11000100004002,110010004002,0.998880693,1,1,1,1,1,1,1
G11000100004002,110010004002,G11000100005013,110010005013,0.001119307,0,0,0,0,0,0,0
G11000100005011,110010005011,G11000100005011,110010005011,0.99557544,1,1,1,1,1,1,1
G11000100005011,110010005011,G11000100013044,110010013044,0.00442456,0,0,0,0,0,0,0
