ROUTEID,BLOCKKEY,SPEEDLIMITS_OB,DCFUNCTIONALCLASS,ADDRESS,latitude,longitude,AADT
11037892,e9cc6e90423eb3ff758c81f42e540aa5,25,16,"3070 FOXHALL ROAD NW WASHINGTON, DC",38.93133365,-77.09139706,10736
11004902,96d447afcd55d40004540b2774bb07bd,20,17,"3667 49TH STREET NW WASHINGTON, DC",38.93789383,-77.09652954,1671
11001102,a93d739d0db23dc3ebce05cb780d1b30,30,17,"2050 11TH STREET NW WASHINGTON, DC",38.91756382,-77.02713535,2901
11064282,acde7eec82dc51da9d219725abc54455,25,16,"1662 NEW JERSEY AVENUE NW WASHINGTON, DC",38.91221885,-77.01733169,0
11003202,864c412346d68e289bef5488446589ec,20,19,"4515 32ND STREET NW WASHINGTON, DC",38.94826476,-77.06455849,0
11059732,4b9ac033d586653a84eaf5dedf83bacd,20,19,"3328 MAUD STREET NW WASHINGTON, DC",38.93496794,-77.10429025,0
11025352,ab1d912af21a1b2988bd379e1e0d8df8,20,16,"52 CONSTITUTION AVENUE NW WASHINGTON, DC",38.89199714,-77.0114147,14123
11067792,30d78264ed64ac7809525c880684cd2a,25,17,"6876 OREGON AVENUE NW WASHINGTON, DC",38.98010179,-77.05227786,4633
11004002,75d329799fb37d39c193155c02f69c58,20,19,"4350 40TH STREET NW WASHINGTON, DC",38.94538408,-77.07885405,0
11001202,dc0edd871cea09328345c41aa5264a5b,20,19,"7309 12TH STREET NW WASHINGTON, DC",38.978336,-77.027765,0
11043942,e983199ae3f1a2542c78f421e14772b3,20,19,"5450 HAWTHORNE PLACE NW WASHINGTON, DC",38.92955988,-77.10526916,0
11032762,c9ba6e2c8c5682cc7b29c3def937daa2,20,19,"4311 ELLICOTT STREET NW WASHINGTON, DC",38.9534878,-77.08431582,0
11000602,10adae64534c5f0f3f226834ecbc9d29,25,19,"1950 6TH STREET NW WASHINGTON, DC",38.91606957,-77.02018806,0
11009102,bf8e2aeb67e1dcd347ef12a72da956ae,25,16,"3150 ADAMS MILL ROAD NW WASHINGTON, DC",38.93059074,-77.04505922,6063
11041342,32fd3afa175ddb9b453161a6336aa06d,20,16,"51 GRANT CIRCLE NW WASHINGTON, DC",38.94276462,-77.01992682,5322
11031922,8b1a9e5f88a19cf5dcefd80a1b58c3bc,20,19,"550 EAST EXECUTIVE AVENUE NW WASHINGTON, DC",38.89661156,-77.0351732,0
11040042,6f43f68c8f2759404d3288ddb04aecaf,30,14,"7150 GEORGIA AVENUE NW WASHINGTON, DC",38.9291222,-77.0232413,17818
11057912,e16d06eeb0a809b023dcdc1c40ec4551,25,14,"4836 MACARTHUR BOULEVARD NW WASHINGTON, DC",38.91697675,-77.09667366,11011
11031332,adf830bfcd170622ab718f06a793c08e,20,14,"1850 E STREET NW WASHINGTON, DC",38.89606505,-77.04258452,14764
11063182,3fed73e55ebf67b54b1c2299ac334834,20,19,"3450 N STREET NW WASHINGTON, DC",38.90666624,-77.06840786,0
11001302,999bb50e86fb192f42aa2684b428e440,25,16,"2301 13TH STREET NW WASHINGTON, DC",38.920629,-77.029582,7963
11030872,c181d6178e72d324875f9fbdbf1bb1dd,,19,"2950 DUMBARTON STREET NW WASHINGTON, DC",38.90758884,-77.05867807,0
11065522,55d8f03188d0f3347be4e75a0d964e04,20,19,"1403 NORTHGATE ROAD NW WASHINGTON, DC",38.98964849,-77.03427667,0
11063762,0f031cbd0383d84934890787db034064,20,14,"3175 NEBRASKA AVENUE NW WASHINGTON, DC",38.93294644,-77.09161575,0
11036852,df24b16639fb4c796ef497ae18e27118,20,19,"4150 FORDHAM ROAD NW WASHINGTON, DC",38.9427638,-77.09878244,0
11001602,7f26d2d048def37c27450dad08f93609,20,14,"1150 16TH STREET NW WASHINGTON, DC",38.90471353,-77.03664,9540
11001002,67ed45f1a370f4064710bedc1726774f,20,19,"3735 10TH STREET NW WASHINGTON, DC",38.93613023,-77.02708321,0
11051352,9f82ec8255a3db01f0b17a8040e3e07b,25,16,"4350 KANSAS AVENUE NW WASHINGTON, DC",38.94354803,-77.02480987,4960
11032632,3cad2ab9d98468570868119a71bfc41a,20,19,"750 ELDER STREET NW WASHINGTON, DC",38.97720325,-77.02371026,0
11003902,16a9d428e397c7562a2db5d009c11e04,20,19,"1750 39TH STREET NW WASHINGTON, DC",38.914524,-77.0757,0
