ROUTEID,ROUTENAME,ROADTYPE,BLOCKKEY,TOTALTRAVELLANES,TOTALTRAVELLANEWIDTH,TOTALTRAVELLANESINBOUND,TOTALTRAVELLANESOUTBOUND,SUMMARYDIRECTION,FHWAFUNCTIONALCLASS,NHSCODE,OWNERSHIP,SPEEDLIMITS_IB,SPEEDLIMITS_OB,STREETNAME,STREETTYPE,BLOCKID,DCFUNCTIONALCLASS,NHSTYPE,WARD_ID,ANC_ID,SMD_ID,BLOCK_NAME,ROAD,START,END,MIDPOINT,ADDRESS,MAR_ID,SURFACE_TYPE,OBJECTID,SHAPE,DC_MAINTENANCE_OPERATIONS,MAINTENANCE_OPERATIONS,SHAPELEN
11037892,FOXHALL RD NW,1,e9cc6e90423eb3ff758c81f42e540aa5,2,18,1,1,BD,4,,1,,25,FOXHALL,RD,11037892-11020992_11037892-11037892_11053042,16,,3,3D,3D01,3040 - 3099 BLOCK OF FOXHALL ROAD NW,FOXHALL ROAD NW,3040,3099,3070,"3070 FOXHALL ROAD NW WASHINGTON, DC",810894,7,2780550,,1,1,0
11004902,49TH ST NW,1,96d447afcd55d40004540b2774bb07bd,2,16,1,1,BD,5,,1,,20,49TH,ST,11004902-11004902_11094382-11004902_11073322,17,,3,3D,3D02,3634 - 3699 BLOCK OF 49TH STREET NW,49TH STREET NW,3634,3699,3667,"3667 49TH STREET NW WASHINGTON, DC",800183,4,2780551,,1,1,0
11001102,11TH ST NW,1,a93d739d0db23dc3ebce05cb780d1b30,2,18,1,1,BD,5,,1,,30,11TH,ST,11001102-11001102_11087232-11001102_11088462,17,,1,1B,1B02,2000 - 2099 BLOCK OF 11TH STREET NW,11TH STREET NW,2000,2099,2050,"2050 11TH STREET NW WASHINGTON, DC",801192,6,2780552,,1,1,0
11064282,NEW JERSEY AVE NW,1,acde7eec82dc51da9d219725abc54455,3,36,1,2,BD,4,,1,,25,NEW JERSEY,AVE,11064282-11064282_11091132-11064282_11074162,16,,2,2G,2G03,1624 - 1699 BLOCK OF NEW JERSEY AVENUE NW,NEW JERSEY AVENUE NW,1624,1699,1662,"1662 NEW JERSEY AVENUE NW WASHINGTON, DC",803116,7,2780553,,1,1,0
11003202,32ND ST NW,1,864c412346d68e289bef5488446589ec,2,18,1,1,BD,7,,1,,20,32ND,ST,11003202-11003202_11009492-11003202_11010662,19,,3,3F,3F02,4500 - 4529 BLOCK OF 32ND STREET NW,32ND STREET NW,4500,4529,4515,"4515 32ND STREET NW WASHINGTON, DC",808200,0,2780554,,1,1,0
11059732,MAUD ST NW,1,4b9ac033d586653a84eaf5dedf83bacd,2,16,1,1,BD,7,,1,,20,MAUD,ST,11059732-11058692_11059732-11059732_11091712,19,,3,3D,3D03,3316 - 3339 BLOCK OF MAUD STREET NW,MAUD STREET NW,3316,3339,3328,"3328 MAUD STREET NW WASHINGTON, DC",800481,0,2780555,,1,1,0
11025352,CONSTITUTION AVE NW,1,ab1d912af21a1b2988bd379e1e0d8df8,5,52,3,2,BD,4,,3,,20,CONSTITUTION,AVE,11025352-11025352_11064282-11000102_11025352,16,,6,6C,6C02,4 - 99 BLOCK OF CONSTITUTION AVENUE NW,CONSTITUTION AVENUE NW,4,99,52,"52 CONSTITUTION AVENUE NW WASHINGTON, DC",814379,7,2780556,,1,1,0
11067792,OREGON AVE NW,1,30d78264ed64ac7809525c880684cd2a,2,22,1,1,BD,5,,1,,25,OREGON,AVE,11067792-11022812_11067792_11094082_61067792C_61067792C_61067792C-11029772_11067792,17,,4,3/4G,3/4G01,6852 - 6899 BLOCK OF OREGON AVENUE NW,OREGON AVENUE NW,6852,6899,6876,"6876 OREGON AVENUE NW WASHINGTON, DC",804885,7,2780557,,1,1,0
11004002,40TH ST NW,1,75d329799fb37d39c193155c02f69c58,2,16,1,1,BD,7,,1,,20,40TH,ST,11004002-11004002_11091192-11004002_11094052,19,,3,3A,3A04,4300 - 4399 BLOCK OF 40TH STREET NW,40TH STREET NW,4300,4399,4350,"4350 40TH STREET NW WASHINGTON, DC",801285,0,2780558,,1,1,0
11001202,12TH ST NW,1,dc0edd871cea09328345c41aa5264a5b,2,16,1,1,BD,7,,1,,20,12TH,ST,11001202-11001202_11035422-11001202_11036462,19,,4,4A,4A03,7300 - 7317 BLOCK OF 12TH STREET NW,12TH STREET NW,7300,7317,7309,"7309 12TH STREET NW WASHINGTON, DC",803793,0,2780559,,1,1,0
