OBJECTID,TRACT,BLKGRP,GEOID,GID,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,ENRGY_CON,STRM_WTR,UHI,LAND_OWN,WLDLF_CON,ASTHMA,CARDIO,MNTL_HLTH,OBESITY,INSURANCE,POP_UNDER,HOMEOWNR,OVERALL,LOW_UTC,POS_UTC,TRACT_1,TRACT_2,GIS_ID,GLOBALID,SHAPEAREA,SHAPELEN
1,001600,4,110010016004,66,298.63,73.3518373,315.19,76.69976152,-0.07900357,-3.4269278,413.08,408.36,301.09,72.89,48.74,11.8,24.3,5.88,58.51,14.16,20.29,4.91,0.77,0.19,2.11,0.51,11.05,2.67,4.73,1.14393287,0.02,0,301.09,73.73,48.15,11.79,51.09,12.51,2.94,0.72,0.51,0.13,56.18,13.76,55.65,13.63,0.02,0,4.73,1.16,300.36,73.55274758,0.73,0.17725242,3.07306626,1.24316973,29.0081098,9.578e-05,9.63408145,8.9,5.1,6.9,24.1,4.3,0.04031083,30.2,9.02710208,26.27,12.51,11001001600,11001001600,UTC_BlockGroupPly2010_2020_66,{F1D0CF39-E8BC-4699-8689-67689607B243},0,0
2,001600,1,110010016001,63,46.59,39.32641175,54.12,45.68245125,0.46425255,-5.89178695,118.47,118.47,51.92,43.82,23.92,20.19,16.7,14.09,42.63,35.99,13.71,11.57,1.82,1.54,2.74,2.31,7.67,6.47,0,0,0,0,51.92,43.82,23.79,20.08,28.41,23.98,4.62,3.9,0.08,0.06,38.15,32.2,38.07,32.13,0,0,0,0,47.14,39.7906643,4.78,4.0293357,8.04853628,3.90322283,31.37225131,0.74811333,11.15331473,8.9,5.1,6.9,24.1,4.3,0.05720824,30.2,10.39333338,56.18,23.98,11001001600,11001001600,UTC_BlockGroupPly2010_2020_63,{8194D601-15C3-4224-9289-8B415FC6C719},0,0
3,001500,1,110010015001,58,646.29,83.87712194,644.96,83.57327044,0.93845688,1.24230838,772.11,770.93,644.94,83.53,54.59,7.07,24.11,3.12,71.34,9.24,22.25,2.88,3.77,0.49,2.98,0.39,18.23,2.36,1.18,0.15313828,0.06,0.01,644.94,83.66,54.24,7.04,61.04,7.92,6.8,0.88,0.3,0.04,64.94,8.42,64.59,8.38,0.06,0.01,1.18,0.15,653.75,84.80017641,-8.81,-1.14017641,1.17853575,1.09483739,28.21418872,0.97180854,6.26002704,7.9,5.1,6.9,18.8,3.5,0.080405,25.6,8.18297989,16.34,7.92,11001001500,11001001500,UTC_BlockGroupPly2010_2020_58,{5F982D1F-6349-4000-98BA-BA03DEAA33D4},0,0
4,010300,2,110010103002,428,16.39,27.38055463,16.71,27.84071976,1.43836924,0.97820411,60.02,60.02,18.86,31.42,9.97,16.61,10.57,17.61,31.14,51.88,8.73,14.54,3.32,5.53,1.74,2.9,6.79,11.31,0,0,0.05,0.08,18.86,31.42,9.95,16.58,15.02,25.02,5.07,8.44,0.01,0.01,26.14,43.56,26.09,43.46,0.05,0.08,0,0,17.3,28.82372542,1.56,2.59627458,11.06833572,8.4463331,31.17443851,0.03859079,4.57880741,9.7,4.8,10.4,27.7,8.5,0.18487395,13.6,10.63563542,68.58,25.02,11001010300,11001010300,UTC_BlockGroupPly2010_2020_428,{DA0D5A90-3040-4C4F-ABDF-1961355E26B3},0,0
5,001600,2,110010016002,64,14.88,31.13622097,17.42,36.45114041,3.14590545,-2.16901399,47.79,47.79,19.34,40.46,6.45,13.49,8.82,18.46,22,46.04,6.9,14.43,1.36,2.84,1.17,2.46,3.75,7.85,0,0,0,0.01,19.34,40.46,6.29,13.16,8.84,18.49,2.55,5.33,0.14,0.29,19.62,41.05,19.47,40.75,0,0.01,0,0,16.38,34.27495292,2.96,6.18504708,7.03397339,5.32735019,31.13728757,0.21013909,7.27383185,8.9,5.1,6.9,24.1,4.3,0.20029895,30.2,10.24852366,59.54,18.49,11001001600,11001001600,UTC_BlockGroupPly2010_2020_64,{E381613E-D748-4E52-BF50-C7D3E7AFFD6C},0,0
6,001600,3,110010016003,65,38.64,44.05929304,46.19,52.668187,-1.55729738,-10.16619133,87.69,87.69,39.75,45.32,17.89,20.4,11.94,13.61,30.06,34.28,10.49,11.96,0.61,0.69,1.58,1.8,5.45,6.21,0,0,0,0,39.75,45.32,17.83,20.33,20.06,22.88,2.24,2.55,0.01,0.01,27.88,31.8,27.88,31.79,0,0,0,0,37.27,42.50199567,2.48,2.81800433,8.72385217,2.55080159,30.98595677,0.19119432,16.18149358,8.9,5.1,6.9,24.1,4.3,0.02296211,30.2,10.44814028,54.68,22.88,11001001600,11001001600,UTC_BlockGroupPly2010_2020_65,{29A8C265-F387-4D65-91D0-8103C3794F1F},0,0
7,001500,4,110010015004,61,114.33,71.05214095,101.8,63.20233439,2.09830592,9.94811248,161.12,161.11,109.76,68.12,19.48,12.09,14.29,8.87,31.88,19.78,10.87,6.74,0.04,0.03,0.56,0.35,6.12,3.8,0.01,0.00690136,0,0,109.76,68.12,19.22,11.93,19.84,12.32,0.62,0.38,0.23,0.15,31.51,19.56,31.28,19.41,0,0,0.01,0.01,117.86,73.15498728,-8.1,-5.03498728,1.75443623,0.42967957,28.94591216,0.00092146,12.28636147,7.9,5.1,6.9,18.8,3.5,0.11638204,25.6,8.89347866,31.88,12.32,11001001500,11001001500,UTC_BlockGroupPly2010_2020_61,{76D25588-1C42-4015-956B-8E812B133DEB},0,0
8,001702,2,110010017022,68,33.74,26.80756396,36.28,28.82338921,1.44708554,-0.56873971,125.87,125.87,37.95,30.15,14.61,11.6,25.09,19.93,73.32,58.25,14.65,11.64,15.17,12.05,4.71,3.74,13.69,10.88,0,0,0,0,37.95,30.15,14.56,11.56,34.46,27.38,19.91,15.82,0.02,0.01,53.46,42.47,53.44,42.46,0,0,0,0,35.55,28.24342576,2.4,1.90657424,6.03290174,15.81761392,31.67763638,0.00443898,10.35435465,9.7,4.1,9.6,24.5,6.5,0.17443064,17.8,10.97522302,69.85,27.38,11001001702,11001001702,UTC_BlockGroupPly2010_2020_68,{2FD083FE-836E-4328-81A9-6238A2A7DD15},0,0
9,010300,3,110010103003,429,23.96,37.72634231,25.53,40.19839395,-0.24602735,-2.71807899,63.5,63.5,25.08,39.49,11.94,18.81,10.03,15.8,26.37,41.52,7.67,12.07,1.1,1.73,2.27,3.57,5.3,8.35,0,0,0.12,0.18,25.08,39.49,11.17,17.59,14.55,22.92,3.38,5.33,0.76,1.19,23.88,37.6,23.01,36.23,0.12,0.18,0,0,23.8,37.48031496,1.28,2.00968504,8.40487993,5.32774078,31.2547784,3.4046268,8.87210377,9.7,4.8,10.4,27.7,8.5,0.23211064,13.6,10.68422354,60.51,22.92,11001010300,11001010300,UTC_BlockGroupPly2010_2020_429,{147F7084-1005-4F3B-B993-CE4278490BCE},0,0
10,010300,1,110010103001,427,39.62,27.37132988,41.79,28.85651153,2.27236574,0.78718409,144.82,144.82,42.34,29.23,23.25,16.05,22.18,15.31,78.96,54.52,16.45,11.36,10.27,7.09,7.26,5.01,22.8,15.74,0,0,0.28,0.19,42.34,29.23,22.39,15.46,39.95,27.59,17.56,12.13,0.77,0.53,62.53,43.18,61.48,42.46,0.28,0.19,0,0,42.93,29.64369562,-0.59,-0.41369562,1.4600481,12.12560201,31.42253636,15.27061915,4.92739254,9.7,4.8,10.4,27.7,8.5,0.15919811,13.6,11.00947469,70.77,27.59,11001010300,11001010300,UTC_BlockGroupPly2010_2020_427,{A17CA16A-32BC-45AB-9B2E-33E146194E4E},0,0
